,reviews_classified_all
299,essa desgraca tenho 3 anos e so tem 50 de limite muito ruim
300,o melhor banco de todos
301,otimo atendimento tudo que precisa rapidamente eficiencia facilidade exelencia no geral do atendimento ao cliente
302,otimo cartao
303,bom dia nao entendo voces eu pago tudo certinho na data certa e voces nao aumentam o meu limite do cartao ja estou com o cartao a mais de um ano assim fica dificil de usar o cartao do nubank espero que essela situacao seja resolvido
304,o que esta havendo com nubank muitos erros na area de transferencia pra enviar e receber
305,muito bom gosto muito do nu conta atendimento otimo com pessoas qualificadas você vale apena ter um cartao para as necessidades
306,gosto muito desse cartao ele e aceito em todo lugar por isso eu gosto tanto
307,eu amava pena que bloquearam meu cartao de credito
308,gosto muito da nubank pela praticidade e todos os recursos disponiveis no aplicativo mas troquei de aparelho e nao estou conseguindo entrar na minha conta da nubank primeiro pede pra mim autorizar o dispositivo mas mesmo colocando o codigo ele volta pra mesma tela pedindo pra autorizar
309,e otimo sem explicacao
310,esta bonita a interface do aplicativo so deveriam aceitar aumento de limite para quem usa sempre ele e paga tudo em dias as vezes em uma necessidade e necessario
311,so e ruim pra quem tem celular com pouco memoria porque atualisa todo dia mas de resto e otimo tudo
312,sem palavras melhor nao tem melhor experiencia do mundo meu primeiro banco tiro o chapeu a todos os desenvolvedores e a nu tambem voces sao de mais
313,otimo
314,otimo ja fiz cadastro pra 5 pessoas aqui
315,fiz a solicitacao de abertura de conta enviei copia de meu documento e self e agora estou esperando uma semana o prazo de uma hora que foi me dado mega grato nubank acabei encontrando um banco digital melhor para poder investir ah sou cliente na nu invest desde que era easy invest nunca tive nenhum tipo de problema ou desconsideracao
316,top simplesmente o melhor
317,depois de algumas tentativas finalmente me deram credito fiquei muito feliz por isso faz tempo que tava querendo um roxinho ate agora sem nenhum problema a interface e bem intuitiva adorei
318,muito top podem confiar sempre que precisei tirar duvidas fui correspondido sem contar os rendimentos
319,muito otimo
320,estou tentando abrir uma conta e simplesmente nao tenho retorno o aplicativo nao finaliza o meu cadastro ja conversei com atendente por telefone e nem ele conseguiu dar andamento na minha solicitacao estou decepcionada o melhor e partir para outro banco digital
321,uso pra tudo receber meu salario estou bem satisfeita
322,ja mandei todos meus dados manda o cartao e o valor vania barbosa miranda ok
323,ola sou nova aqui como faco para ativar a funcao do credito para fazer compras
324,eu ate gosto do nubank e muito bom mas sobre o cartao de credito ai ja e um pouco ruim por que agente o cartao de credito mas eles nunca aumenta o limite de credito do cartao ai tem a opcao de você pedi o aumento do limite de credito mas a unica resposta que eles esta e no momento nao podemos aumentar o seu credito isso e por que eu mesmo paga a minha fatura do cartao do mes pra mim esse e o unico defeito do nubank ser pode ajuda agente agradece muito
325,conta online que amei ter tudo muito pratico
326,melhor conta
327,um excelente aplicativo de guarda dinheiro e aumentar sua vida financeira
328,estou amando o nubank primeiro por ter me dado um cartao de credito mesmo com restricoes no nome quando o meu banco o qual recebo meu salario nao me deu muito satisfeita com o roxinho
329,estou a um bom tempo usando o nubank a alguns meses comecei a usar o cartao de credito e o mesmo me liberou apenas are 5000 de limite acho frustante passei a pagar quase tubo pelo credito e sempre adianto o pagamento e faco pagamento antecipado para poderem analisar o quanto e incompativel o valor que me liberaram
330,pessimo estou a meses usando essa conta e um misero limite de 50 reais que nunca aumenta surreal
331,otima me ta me ajudando muito
332,nao consigo aumentar o meu limite
333,excelente pratico 🤩🤩
334,muito facil de fazer compras e pagamento parabens 🤝
335,otimo
